2020-01-21 11:33:41,164 - wiirunner - INFO - Source is Camera
2020-01-21 11:33:41,165 - wiirunner - INFO - {'row_low': 0, 'row_high': 719, 'column_low': 0, 'column_high': 1279}
2020-01-21 11:33:41,193 - wiirunner - INFO - ('frame: ', -1)
2020-01-21 11:33:43,288 - wiirunner - INFO - ('cycle, time, frame, direction:', 1, 17, 176, <State.eRight: (-1,)>, False, True)
2020-01-21 11:33:46,221 - wiirunner - INFO - ('cycle, time, frame, direction:', 2, 78, 122, <State.eRight: (-1,)>, False, True)
2020-01-21 11:33:47,988 - wiirunner - INFO - ('cycle, time, frame, direction:', 3, 30, 94, <State.eRight: (-1,)>, False, True)
2020-01-21 11:33:49,787 - wiirunner - INFO - ('cycle, time, frame, direction:', 4, 28, 76, <State.eRight: (-1,)>, False, True)
2020-01-21 11:33:51,126 - wiirunner - INFO - ('cycle, time, frame, direction:', 5, 21, 66, <State.eRight: (-1,)>, False, True)
2020-01-21 11:33:52,026 - wiirunner - INFO - ('cycle, time, frame, direction:', 6, 13, 58, <State.eRight: (-1,)>, False, True)
2020-01-21 11:33:53,132 - wiirunner - INFO - ('cycle, time, frame, direction:', 7, 17, 53, <State.eRight: (-1,)>, False, False)
2020-01-21 11:33:54,158 - wiirunner - INFO - ('cycle, time, frame, direction:', 8, 18, 48, <State.eRight: (-1,)>, False, False)
2020-01-21 11:33:55,230 - wiirunner - INFO - ('cycle, time, frame, direction:', 9, 17, 45, <State.eRight: (-1,)>, False, False)
2020-01-21 11:33:57,263 - wiirunner - INFO - ('cycle, time, frame, direction:', 10, 31, 42, <State.eRight: (-1,)>, False, False)
2020-01-21 11:33:58,537 - wiirunner - INFO - ('cycle, time, frame, direction:', 11, 21, 40, <State.eRight: (-1,)>, False, False)
2020-01-21 11:33:59,333 - wiirunner - INFO - ('cycle, time, frame, direction:', 12, 12, 38, <State.eRight: (-1,)>, False, False)
2020-01-21 11:34:00,037 - wiirunner - INFO - ('cycle, time, frame, direction:', 13, 10, 36, <State.eRight: (-1,)>, False, False)
2020-01-21 11:34:00,700 - wiirunner - INFO - ('cycle, time, frame, direction:', 14, 10, 35, <State.eRight: (-1,)>, False, False)
2020-01-21 11:34:01,369 - wiirunner - INFO - ('cycle, time, frame, direction:', 15, 10, 34, <State.eRight: (-1,)>, False, False)
2020-01-21 11:34:02,339 - wiirunner - INFO - ('cycle, time, frame, direction:', 16, 18, 32, <State.eRight: (-1,)>, False, False)
