2020-01-21 11:30:31,938 - wiirunner - INFO - Source is Camera
2020-01-21 11:30:31,938 - wiirunner - INFO - {'row_low': 0, 'row_high': 719, 'column_low': 0, 'column_high': 1279}
2020-01-21 11:30:31,954 - wiirunner - INFO - ('frame: ', -1)
2020-01-21 11:30:33,720 - wiirunner - INFO - ('cycle, time, frame, direction:', 1, 13, 166, <State.eRight: (-1,)>, False, True)
2020-01-21 11:30:34,118 - wiirunner - INFO - ('cycle, time, frame, direction:', 2, 4, 229, <State.eSame: (0,)>, True, False)
2020-01-21 11:30:34,361 - wiirunner - INFO - ('cycle, time, frame, direction:', 3, 4, 260, <State.eLeft: (1,)>, True, False)
2020-01-21 11:30:34,823 - wiirunner - INFO - ('cycle, time, frame, direction:', 4, 7, 278, <State.eLeft: (1,)>, True, False)
2020-01-21 11:30:35,234 - wiirunner - INFO - ('cycle, time, frame, direction:', 5, 4, 232, <State.eSame: (0,)>, False, True)
2020-01-21 11:30:35,666 - wiirunner - INFO - ('cycle, time, frame, direction:', 6, 6, 199, <State.eRight: (-1,)>, False, True)
2020-01-21 11:30:35,901 - wiirunner - INFO - ('cycle, time, frame, direction:', 7, 2, 174, <State.eRight: (-1,)>, False, True)
2020-01-21 11:30:36,137 - wiirunner - INFO - ('cycle, time, frame, direction:', 8, 3, 155, <State.eRight: (-1,)>, False, True)
2020-01-21 11:30:36,370 - wiirunner - INFO - ('cycle, time, frame, direction:', 9, 2, 175, <State.eSame: (0,)>, True, False)
2020-01-21 11:30:36,597 - wiirunner - INFO - ('cycle, time, frame, direction:', 10, 3, 160, <State.eRight: (-1,)>, False, True)
2020-01-21 11:30:36,766 - wiirunner - INFO - ('cycle, time, frame, direction:', 11, 2, 147, <State.eRight: (-1,)>, False, True)
2020-01-21 11:30:37,396 - wiirunner - INFO - ('cycle, time, frame, direction:', 12, 9, 162, <State.eSame: (0,)>, True, False)
2020-01-21 11:30:37,595 - wiirunner - INFO - ('cycle, time, frame, direction:', 13, 3, 151, <State.eRight: (-1,)>, False, True)
2020-01-21 11:30:37,797 - wiirunner - INFO - ('cycle, time, frame, direction:', 14, 2, 141, <State.eRight: (-1,)>, False, True)
2020-01-21 11:30:37,966 - wiirunner - INFO - ('cycle, time, frame, direction:', 15, 2, 133, <State.eRight: (-1,)>, False, True)
2020-01-21 11:30:38,461 - wiirunner - INFO - ('cycle, time, frame, direction:', 16, 5, 125, <State.eRight: (-1,)>, False, True)
2020-01-21 11:30:38,881 - wiirunner - INFO - ('cycle, time, frame, direction:', 17, 5, 138, <State.eSame: (0,)>, True, False)
2020-01-21 11:30:39,110 - wiirunner - INFO - ('cycle, time, frame, direction:', 18, 2, 131, <State.eSame: (0,)>, False, False)
2020-01-21 11:30:39,318 - wiirunner - INFO - ('cycle, time, frame, direction:', 19, 2, 124, <State.eSame: (0,)>, False, False)
2020-01-21 11:30:39,447 - wiirunner - INFO - ('cycle, time, frame, direction:', 20, 1, 119, <State.eSame: (0,)>, False, False)
2020-01-21 11:30:39,580 - wiirunner - INFO - ('cycle, time, frame, direction:', 21, 1, 113, <State.eSame: (0,)>, False, False)
2020-01-21 11:30:39,722 - wiirunner - INFO - ('cycle, time, frame, direction:', 22, 1, 108, <State.eSame: (0,)>, False, False)
2020-01-21 11:30:39,846 - wiirunner - INFO - ('cycle, time, frame, direction:', 23, 1, 104, <State.eSame: (0,)>, False, False)
